NTSB DCA16MM001, Attachment 1 to Electronic Data Factual Report
Operator: TOTE Services
Vessel: SS El Faro (IMO 7395351)
Source of Data: Automatic Identification System (AIS)
Date of Event: October 1, 2015
Location: North Atlantic Ocean, 40 nautical miles northeast of Acklins and Crooked Islands, Bahamas
DATA
Date (EDT),Time (EDT),Latitude,Longitude,SOG,COG,Heading,TimeStamp,Date (UTC),Time (UTC)
m/d/yyyy,hh:mm:ss,degrees,degrees,,,,,m/d/yyyy,hh:mm:ss
9/28/2015,14:34:44,30.388638,-81.543540,0.0,182,259,45,9/28/2015,18:34:44
9/28/2015,21:09:12,30.388670,-81.543550,0.0,175,0,13,9/29/2015,01:09:12
9/28/2015,22:42:51,30.388652,-81.543508,0.0,95,0,52,9/29/2015,02:42:51
9/28/2015,23:04:50,30.388675,-81.543542,0.0,175,0,52,9/29/2015,03:04:50
9/28/2015,23:22:52,30.388692,-81.543582,0.0,147,0,52,9/29/2015,03:22:52
9/28/2015,23:25:23,30.388675,-81.543570,0.0,188,0,23,9/29/2015,03:25:23
9/28/2015,23:27:23,30.388655,-81.543540,0.0,44,259,23,9/29/2015,03:27:23
9/28/2015,23:29:54,30.388638,-81.543528,0.0,173,259,53,9/29/2015,03:29:54
9/28/2015,23:36:50,30.388645,-81.543543,0.0,278,259,52,9/29/2015,03:36:50
9/29/2015,03:54:51,30.388635,-81.543547,0.0,186,259,53,9/29/2015,07:54:51
9/29/2015,04:28:01,30.388697,-81.543555,0.0,282,259,3,9/29/2015,08:28:01
9/29/2015,14:10:23,30.388670,-81.543558,0.0,1,259,23,9/29/2015,18:10:23
9/29/2015,20:31:20,30.387878,-81.532847,7.9,79,78,22,9/30/2015,00:31:20
9/29/2015,22:31:38,30.362133,-81.082863,19.6,101,102,37,9/30/2015,02:31:38
9/29/2015,22:31:56,30.361818,-81.080998,19.7,101,102,55,9/30/2015,02:31:56
9/29/2015,22:32:37,30.361102,-81.076740,19.7,101,101,36,9/30/2015,02:32:37
9/29/2015,22:59:39,30.333297,-80.906987,20.1,101,102,37,9/30/2015,02:59:39
9/29/2015,22:59:45,30.333192,-80.906352,20.1,101,101,43,9/30/2015,02:59:45
9/29/2015,22:59:51,30.333088,-80.905715,20.1,101,101,49,9/30/2015,02:59:51
9/29/2015,23:00:38,30.332297,-80.900722,20.1,101,102,36,9/30/2015,03:00:38
9/29/2015,23:06:50,30.325853,-80.861180,20.1,100,102,49,9/30/2015,03:06:50
9/30/2015,02:29:24,29.621465,-79.888767,18.8,133,134,24,9/30/2015,06:29:24
9/30/2015,02:33:13,29.607778,-79.872162,18.8,134,134,13,9/30/2015,06:33:13
9/30/2015,04:11:06,29.290153,-79.429390,17.1,131,138,6,9/30/2015,08:11:06
9/30/2015,04:12:06,29.287058,-79.425243,17.1,131,138,6,9/30/2015,08:12:06
9/30/2015,04:13:37,29.282412,-79.418853,17.3,130,137,36,9/30/2015,08:13:37
9/30/2015,04:17:19,29.270883,-79.403168,17.3,130,137,19,9/30/2015,08:17:19
9/30/2015,04:18:01,29.268768,-79.400200,17.2,130,138,1,9/30/2015,08:18:01
9/30/2015,06:16:52,28.836768,-78.863120,20.4,134,134,54,9/30/2015,10:16:52
9/30/2015,09:26:25,28.046203,-78.094560,19.5,139,140,26,9/30/2015,13:26:25
9/30/2015,10:06:06,27.885022,-77.936987,19.2,139,139,7,9/30/2015,14:06:06
9/30/2015,10:19:10,27.831998,-77.885252,19.1,139,139,12,9/30/2015,14:19:10
9/30/2015,10:25:24,27.806937,-77.860890,19.2,139,140,25,9/30/2015,14:25:24
9/30/2015,11:25:54,27.563817,-77.626388,19.2,138,138,37,9/30/2015,15:25:54
9/30/2015,11:25:59,27.563480,-77.626057,19.2,138,138,42,9/30/2015,15:25:59
9/30/2015,11:28:05,27.555093,-77.617487,19.2,138,138,49,9/30/2015,15:28:05
9/30/2015,11:28:23,27.553900,-77.616265,19.2,138,137,7,9/30/2015,15:28:23
9/30/2015,11:29:11,27.550760,-77.613092,19.3,138,138,54,9/30/2015,15:29:11
9/30/2015,11:29:24,27.549900,-77.612222,19.3,138,137,7,9/30/2015,15:29:24
9/30/2015,12:30:01,27.304057,-77.368262,19.7,139,138,1,9/30/2015,16:30:01
9/30/2015,12:31:24,27.298218,-77.362645,19.7,139,137,25,9/30/2015,16:31:24
9/30/2015,12:31:31,27.297803,-77.362237,19.7,139,137,31,9/30/2015,16:31:31
9/30/2015,13:39:13,27.017272,-77.092997,19.5,139,137,13,9/30/2015,17:39:13
9/30/2015,13:40:00,27.014072,-77.089912,19.4,139,138,0,9/30/2015,17:40:00
9/30/2015,13:40:36,27.011645,-77.087537,19.4,139,137,36,9/30/2015,17:40:36
9/30/2015,13:41:13,27.009092,-77.084988,19.4,139,137,14,9/30/2015,17:41:13
9/30/2015,14:06:22,26.904470,-76.983865,19.7,139,138,25,9/30/2015,18:06:22
9/30/2015,14:13:25,26.875063,-76.955498,19.9,139,137,25,9/30/2015,18:13:25
9/30/2015,15:17:24,26.604770,-76.697605,20.2,140,137,25,9/30/2015,19:17:24
9/30/2015,15:18:25,26.600515,-76.693657,20.2,140,138,24,9/30/2015,19:18:25
9/30/2015,15:22:01,26.584818,-76.679298,20.2,141,137,1,9/30/2015,19:22:01
9/30/2015,15:22:12,26.584023,-76.678570,20.2,141,137,12,9/30/2015,19:22:12
9/30/2015,15:29:47,26.551198,-76.648622,20.0,141,137,48,9/30/2015,19:29:47
9/30/2015,19:36:41,25.530527,-75.731975,19.8,151,148,43,9/30/2015,23:36:41
9/30/2015,21:08:36,25.084640,-75.455635,19.9,150,149,36,10/1/2015,01:08:36
9/30/2015,21:09:13,25.081732,-75.453752,20.0,150,149,12,10/1/2015,01:09:13
9/30/2015,22:13:05,24.771403,-75.252453,19.7,149,150,7,10/1/2015,02:13:05
9/30/2015,22:13:12,24.770920,-75.252167,19.7,149,149,13,10/1/2015,02:13:12
9/30/2015,22:13:23,24.770083,-75.251580,19.6,149,149,24,10/1/2015,02:13:23
9/30/2015,22:15:12,24.761558,-75.246193,19.5,150,150,12,10/1/2015,02:15:12
9/30/2015,22:16:06,24.757212,-75.243405,19.7,150,150,7,10/1/2015,02:16:06
9/30/2015,22:18:00,24.748120,-75.237588,19.9,149,150,1,10/1/2015,02:18:00
9/30/2015,22:34:49,24.668175,-75.185648,20.2,149,150,48,10/1/2015,02:34:49
9/30/2015,22:35:20,24.665588,-75.184010,20.2,150,149,20,10/1/2015,02:35:20
9/30/2015,22:36:13,24.661292,-75.181382,20.1,150,149,13,10/1/2015,02:36:13
9/30/2015,22:36:42,24.659018,-75.179875,20.0,150,148,42,10/1/2015,02:36:42
9/30/2015,22:36:55,24.658010,-75.179173,20.0,150,149,55,10/1/2015,02:36:55
9/30/2015,22:37:37,24.654787,-75.177047,19.8,149,150,36,10/1/2015,02:37:37
9/30/2015,22:37:43,24.654322,-75.176732,19.8,149,151,42,10/1/2015,02:37:43
9/30/2015,22:37:49,24.653753,-75.176400,19.8,149,149,49,10/1/2015,02:37:49
9/30/2015,22:38:26,24.650900,-75.174650,19.7,150,149,25,10/1/2015,02:38:26
9/30/2015,22:38:37,24.650025,-75.174098,19.7,150,150,36,10/1/2015,02:38:37
9/30/2015,22:38:49,24.649088,-75.173475,19.7,150,149,48,10/1/2015,02:38:49
9/30/2015,23:06:53,24.514315,-75.089220,19.6,152,149,54,10/1/2015,03:06:53
9/30/2015,23:07:18,24.512408,-75.088085,19.6,152,149,18,10/1/2015,03:07:18
9/30/2015,23:49:52,24.311430,-74.966943,19.0,151,149,55,10/1/2015,03:49:52
10/1/2015,00:15:32,24.192902,-74.895808,19.3,151,151,30,10/1/2015,04:15:32
10/1/2015,00:54:01,24.006333,-74.782002,20.1,150,150,1,10/1/2015,04:54:01
10/1/2015,00:55:01,24.001463,-74.779018,20.1,150,149,1,10/1/2015,04:55:01
10/1/2015,00:55:43,23.998143,-74.776838,20.0,150,149,43,10/1/2015,04:55:43
10/1/2015,02:07:23,23.750817,-74.490378,16.4,120,113,25,10/1/2015,06:07:23
10/1/2015,02:08:01,23.749443,-74.487702,16.5,120,112,1,10/1/2015,06:08:01
10/1/2015,02:08:48,23.747653,-74.484167,16.7,120,113,48,10/1/2015,06:08:48
10/1/2015,02:09:12,23.746692,-74.482408,16.9,119,116,12,10/1/2015,06:09:12
10/1/2015,03:49:13,23.529527,-74.040153,14.4,118,98,13,10/1/2015,07:49:13
10/1/2015,03:53:55,23.522902,-74.026030,10.2,116,92,56,10/1/2015,07:53:55
10/1/2015,03:56:07,23.520440,-74.019502,10.7,113,88,7,10/1/2015,07:56:07
